Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2020/21

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Danderyd;0162;Stockholms län;01;Kommunal;468;17,0;91,0;3,2;5,8;
Danderyd;0162;Stockholms län;01;Enskild;47;17,0;~100;..;.;
Degerfors;1862;Örebro län;18;Samtliga;109;16,8;66,1;16,5;17,4;
Degerfors;1862;Örebro län;18;Kommunal;109;16,8;66,1;16,5;17,4;
Dorotea;2425;Västerbottens län;24;Samtliga;27;15,8;74,1;..;..;
Dorotea;2425;Västerbottens län;24;Kommunal;27;15,8;74,1;..;..;
Eda;1730;Värmlands län;17;Samtliga;81;16,8;50,6;12,3;37,0;
Eda;1730;Värmlands län;17;Kommunal;81;16,8;50,6;12,3;37,0;
Ekerö;0125;Stockholms län;01;Samtliga;433;16,7;84,8;4,6;10,6;
Ekerö;0125;Stockholms län;01;Kommunal;401;16,9;85,0;4,5;10,5;
Ekerö;0125;Stockholms län;01;Enskild;32;14,1;81,3;..;..;
Eksjö;0686;Jönköpings län;06;Samtliga;194;16,9;68,6;7,7;23,7;
Eksjö;0686;Jönköpings län;06;Kommunal;192;17,0;69,3;7,3;23,4;
Eksjö;0686;Jönköpings län;06;Enskild;..;..;.;..;..;
Emmaboda;0862;Kalmar län;08;Samtliga;121;16,9;53,7;16,5;29,8;
Emmaboda;0862;Kalmar län;08;Kommunal;121;16,9;53,7;16,5;29,8;
Enköping;0381;Uppsala län;03;Samtliga;573;17,0;72,4;12,4;15,2;
Enköping;0381;Uppsala län;03;Kommunal;429;17,0;70,4;13,1;16,6;
Enköping;0381;Uppsala län;03;Enskild;144;17,0;78,5;10,4;11,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 385;17,0;66,3;12,9;20,8;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 076;17,0;65,9;10,2;23,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;309;17,1;67,6;22,3;10,0;
Eslöv;1285;Skåne län;12;Samtliga;408;16,3;70,6;10,3;19,1;
Eslöv;1285;Skåne län;12;Kommunal;396;16,5;69,9;10,6;19,4;
Eslöv;1285;Skåne län;12;Enskild;12;12,2;~100;.;..;
Essunga;1445;Västra Götalands län;14;Samtliga;71;16,5;52,1;16,9;31,0;
Essunga;1445;Västra Götalands län;14;Kommunal;71;16,5;52,1;16,9;31,0;
Fagersta;1982;Västmanlands län;19;Samtliga;157;15,9;75,8;8,9;15,3;
Fagersta;1982;Västmanlands län;19;Kommunal;135;15,8;74,8;8,9;16,3;
Fagersta;1982;Västmanlands län;19;Enskild;22;16,9;~100;..;..;
Falkenberg;1382;Hallands län;13;Samtliga;560;16,4;71,8;11,4;16,8;
Falkenberg;1382;Hallands län;13;Kommunal;463;17,0;68,5;12,3;19,2;
Falkenberg;1382;Hallands län;13;Enskild;97;13,1;87,6;..;..;
Falköping;1499;Västra Götalands län;14;Samtliga;372;15,1;64,8;11,0;24,2;
Falköping;1499;Västra Götalands län;14;Kommunal;356;15,0;66,6;11,2;22,2;
Falköping;1499;Västra Götalands län;14;Enskild;16;16,9;..;..;68,8;
Falun;2080;Dalarnas län;20;Samtliga;737;16,9;72,9;10,9;16,3;
Falun;2080;Dalarnas län;20;Kommunal;547;16,9;72,8;11,9;15,4;
Falun;2080;Dalarnas län;20;Enskild;190;17,0;73,2;7,9;18,9;
Filipstad;1782;Värmlands län;17;Samtliga;113;16,5;66,4;13,3;20,4;
Filipstad;1782;Värmlands län;17;Kommunal;106;16,8;64,2;14,2;21,7;
Filipstad;1782;Värmlands län;17;Enskild;..;..;..;.;.;
Finspång;0562;Östergötlands län;05;Samtliga;213;17,0;63,4;12,7;23,9;
Finspång;0562;Östergötlands län;05;Kommunal;210;17,0;63,3;12,9;23,8;
Finspång;0562;Östergötlands län;05;Enskild;..;..;..;.;..;
Flen;0482;Södermanlands län;04;Samtliga;162;16,4;58,0;13,6;28,4;
Flen;0482;Södermanlands län;04;Kommunal;108;16,6;55,6;15,7;28,7;
Flen;0482;Södermanlands län;04;Enskild;54;15,9;63,0;..;..;
Forshaga;1763;Värmlands län;17;Samtliga;132;16,9;77,3;..;..;
Forshaga;1763;Värmlands län;17;Kommunal;132;16,9;77,3;..;..;
Färgelanda;1439;Västra Götalands län;14;Samtliga;75;16,9;72,0;..;..;
Färgelanda;1439;Västra Götalands län;14;Kommunal;60;17,0;66,7;..;..;
Färgelanda;1439;Västra Götalands län;14;Enskild;15;16,7;~100;.;..;
Gagnef;2026;Dalarnas län;20;Samtliga;155;16,7;68,4;8,4;23,2;
Gagnef;2026;Dalarnas län;20;Kommunal;155;16,7;68,4;8,4;23,2;
Gislaved;0662;Jönköpings län;06;Samtliga;388;17,0;64,2;9,0;26,8;
Gislaved;0662;Jönköpings län;06;Kommunal;375;17,0;63,7;8,8;27,5;
Gislaved;0662;Jönköpings län;06;Enskild;13;16,9;~100;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;126;16,9;69,8;10,3;19,8;
Gnesta;0461;Södermanlands län;04;Kommunal;126;16,9;69,8;10,3;19,8;
Gnosjö;0617;Jönköpings län;06;Samtliga;100;17,1;62,0;10,0;28,0;
Gnosjö;0617;Jönköpings län;06;Kommunal;100;17,1;62,0;10,0;28,0;
Gotland;0980;Gotlands län;09;Samtliga;641;16,0;77,8;8,4;13,7;
Gotland;0980;Gotlands län;09;Kommunal;580;16,1;76,9;8,3;14,8;
Gotland;0980;Gotlands län;09;Enskild;61;15,2;86,9;..;..;
Grums;1764;Värmlands län;17;Samtliga;86;16,8;58,1;..;..;
Grums;1764;Värmlands län;17;Kommunal;75;16,9;56,0;..;..;
Grums;1764;Värmlands län;17;Enskild;11;16,7;..;.;..;
Grästorp;1444;Västra Götalands län;14;Samtliga;68;12,0;76,5;..;..;
Grästorp;1444;Västra Götalands län;14;Kommunal;68;12,0;76,5;..;..;
Gullspång;1447;Västra Götalands län;14;Samtliga;61;14,9;59,0;..;..;
Gullspång;1447;Västra Götalands län;14;Kommunal;61;14,9;59,0;..;..;
Gällivare;2523;Norrbottens län;25;Samtliga;154;15,5;77,9;..;..;
Gällivare;2523;Norrbottens län;25;Kommunal;130;16,2;74,6;..;..;
Gällivare;2523;Norrbottens län;25;Enskild;24;11,7;~100;.;..;
Gävle;2180;Gävleborgs län;21;Samtliga;1 183;16,8;73,0;10,7;16,2;
Gävle;2180;Gävleborgs län;21;Kommunal;779;16,7;72,8;10,5;16,7;
Gävle;2180;Gävleborgs län;21;Enskild;404;17,0;73,5;11,1;15,3;
Göteborg;1480;Västra Götalands län;14;Samtliga;5 946;15,6;70,0;10,0;20,0;
Göteborg;1480;Västra Götalands län;14;Kommunal;4 426;15,8;67,9;10,1;22,0;
Göteborg;1480;Västra Götalands län;14;Enskild;1 520;15,2;76,1;9,9;14,1;
Götene;1471;Västra Götalands län;14;Samtliga;156;16,9;63,5;10,3;26,3;
Götene;1471;Västra Götalands län;14;Kommunal;156;16,9;63,5;10,3;26,3;
Habo;0643;Jönköpings län;06;Samtliga;173;16,9;80,3;9,8;9,8;
Habo;0643;Jönköpings län;06;Kommunal;173;16,9;80,3;9,8;9,8;
Hagfors;1783;Värmlands län;17;Samtliga;98;16,6;64,3;14,3;21,4;
Hagfors;1783;Värmlands län;17;Kommunal;98;16,6;64,3;14,3;21,4;
Hallsberg;1861;Örebro län;18;Samtliga;178;16,9;69,7;10,1;20,2;
Hallsberg;1861;Örebro län;18;Kommunal;178;16,9;69,7;10,1;20,2;
Hallstahammar;1961;Västmanlands län;19;Samtliga;198;17,1;70,2;12,1;17,7;
Hallstahammar;1961;Västmanlands län;19;Kommunal;198;17,1;70,2;12,1;17,7;
Halmstad;1380;Hallands län;13;Samtliga;1 153;16,3;67,6;11,0;21,3;
Halmstad;1380;Hallands län;13;Kommunal;989;16,5;64,5;11,3;24,2;
Halmstad;1380;Hallands län;13;Enskild;164;15,0;86,6;..;..;
Hammarö;1761;Värmlands län;17;Samtliga;238;17,0;81,5;11,8;6,7;
Hammarö;1761;Värmlands län;17;Kommunal;238;17,0;81,5;11,8;6,7;
Haninge;0136;Stockholms län;01;Samtliga;962;16,4;65,6;12,1;22,3;
Haninge;0136;Stockholms län;01;Kommunal;824;16,9;65,7;12,5;21,8;
Haninge;0136;Stockholms län;01;Enskild;138;13,5;65,2;9,4;25,4;
Haparanda;2583;Norrbottens län;25;Samtliga;135;15,2;65,2;14,1;20,7;
Haparanda;2583;Norrbottens län;25;Kommunal;128;15,1;64,1;14,8;21,1;
Haparanda;2583;Norrbottens län;25;Enskild;..;..;..;.;..;
Heby;0331;Uppsala län;03;Samtliga;147;16,9;70,1;10,2;19,7;
Heby;0331;Uppsala län;03;Kommunal;141;16,9;69,5;9,9;20,6;
Heby;0331;Uppsala län;03;Enskild;..;..;..;..;.;
Hedemora;2083;Dalarnas län;20;Samtliga;187;16,9;62,6;12,8;24,6;
Hedemora;2083;Dalarnas län;20;Kommunal;147;16,9;61,2;12,2;26,5;
Hedemora;2083;Dalarnas län;20;Enskild;40;16,8;67,5;..;..;
Helsingborg;1283;Skåne län;12;Samtliga;1 707;16,8;74,3;9,1;16,6;
Helsingborg;1283;Skåne län;12;Kommunal;1 215;16,9;73,2;9,6;17,2;
Helsingborg;1283;Skåne län;12;Enskild;492;16,5;77,2;7,7;15,0;
Herrljunga;1466;Västra Götalands län;14;Samtliga;85;15,4;69,4;12,9;17,6;
Herrljunga;1466;Västra Götalands län;14;Kommunal;85;15,4;69,4;12,9;17,6;
Hjo;1497;Västra Götalands län;14;Samtliga;100;16,9;78,0;..;..;
Hjo;1497;Västra Götalands län;14;Kommunal;100;16,9;78,0;..;..;
Hofors;2104;Gävleborgs län;21;Samtliga;102;16,8;62,7;14,7;22,5;
Hofors;2104;Gävleborgs län;21;Kommunal;102;16,8;62,7;14,7;22,5;
Huddinge;0126;Stockholms län;01;Samtliga;1 574;16,4;77,3;8,7;14,0;
Huddinge;0126;Stockholms län;01;Kommunal;1 160;16,6;75,0;8,9;16,1;
Huddinge;0126;Stockholms län;01;Enskild;414;15,8;83,6;8,2;8,2;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;418;16,8;71,3;15,1;13,6;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;358;17,0;71,8;14,8;13,4;
Hudiksvall;2184;Gävleborgs län;21;Enskild;60;16,0;68,3;..;..;
Hultsfred;0860;Kalmar län;08;Samtliga;170;17,1;65,9;13,5;20,6;
Hultsfred;0860;Kalmar län;08;Kommunal;141;17,1;66,0;15,6;18,4;
Hultsfred;0860;Kalmar län;08;Enskild;29;17,1;65,5;..;..;
Hylte;1315;Hallands län;13;Samtliga;139;17,0;69,1;13,7;17,3;
Hylte;1315;Hallands län;13;Kommunal;133;17,2;67,7;14,3;18,0;
Hylte;1315;Hallands län;13;Enskild;..;..;..;.;.;
Håbo;0305;Uppsala län;03;Samtliga;327;16,9;78,6;8,9;12,5;
Håbo;0305;Uppsala län;03;Kommunal;249;16,9;72,3;11,6;16,1;
Håbo;0305;Uppsala län;03;Enskild;78;16,7;~100;.;..;
Hällefors;1863;Örebro län;18;Samtliga;80;17,1;56,3;..;..;
Hällefors;1863;Örebro län;18;Kommunal;80;17,1;56,3;..;..;
Härjedalen;2361;Jämtlands län;23;Samtliga;89;17,0;86,5;..;..;
Härjedalen;2361;Jämtlands län;23;Kommunal;89;17,0;86,5;..;..;
Härnösand;2280;Västernorrlands län;22;Samtliga;311;17,0;70,1;10,9;19,0;
Härnösand;2280;Västernorrlands län;22;Kommunal;289;17,0;68,5;11,4;20,1;
Härnösand;2280;Västernorrlands län;22;Enskild;22;16,9;~100;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;660;12,8;82,3;7,0;10,8;
Härryda;1401;Västra Götalands län;14;Kommunal;585;12,9;80,3;7,5;12,1;
Härryda;1401;Västra Götalands län;14;Enskild;75;12,0;~100;..;.;
Hässleholm;1293;Skåne län;12;Samtliga;626;16,7;64,4;10,7;24,9;
Hässleholm;1293;Skåne län;12;Kommunal;520;17,0;62,7;11,3;26,0;
Hässleholm;1293;Skåne län;12;Enskild;106;15,6;72,6;..;..;
Höganäs;1284;Skåne län;12;Samtliga;347;16,9;78,7;9,8;11,5;
Höganäs;1284;Skåne län;12;Kommunal;321;16,9;78,5;10,3;11,2;
Höganäs;1284;Skåne län;12;Enskild;26;16,5;80,8;..;..;
Högsby;0821;Kalmar län;08;Samtliga;76;16,7;44,7;22,4;32,9;
Högsby;0821;Kalmar län;08;Kommunal;76;16,7;44,7;22,4;32,9;
Hörby;1266;Skåne län;12;Samtliga;181;15,9;72,4;11,0;16,6;
Hörby;1266;Skåne län;12;Kommunal;158;15,9;70,3;10,8;19,0;
Hörby;1266;Skåne län;12;Enskild;23;15,9;~100;..;.;
Höör;1267;Skåne län;12;Samtliga;193;13,8;76,2;7,8;16,1;
Höör;1267;Skåne län;12;Kommunal;152;13,1;71,7;9,2;19,1;
Höör;1267;Skåne län;12;Enskild;41;16,5;~100;..;..;
Jokkmokk;2510;Norrbottens län;25;Statlig;..;..;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;44;16,4;81,8;..;..;
Jokkmokk;2510;Norrbottens län;25;Kommunal;34;16,7;79,4;..;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;..;..;..;..;.;
Järfälla;0123;Stockholms län;01;Samtliga;889;16,6;72,1;8,8;19,1;
Järfälla;0123;Stockholms län;01;Kommunal;709;16,7;71,2;9,0;19,7;
Järfälla;0123;Stockholms län;01;Enskild;180;16,2;75,6;7,8;16,7;
Jönköping;0680;Jönköpings län;06;Samtliga;1 721;16,4;78,2;9,5;12,3;
Jönköping;0680;Jönköpings län;06;Kommunal;1 464;16,6;79,5;9,4;11,1;
Jönköping;0680;Jönköpings län;06;Enskild;257;15,4;70,4;10,1;19,5;
Kalix;2514;Norrbottens län;25;Samtliga;165;16,1;84,8;..;..;
Kalix;2514;Norrbottens län;25;Kommunal;150;16,0;86,7;..;..;
Kalix;2514;Norrbottens län;25;Enskild;15;16,7;66,7;..;..;
Kalmar;0880;Kalmar län;08;Samtliga;771;17,0;79,1;7,1;13,7;
Kalmar;0880;Kalmar län;08;Kommunal;691;17,0;79,3;7,4;13,3;
Kalmar;0880;Kalmar län;08;Enskild;80;17,0;77,5;..;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;85;15,9;76,5;..;..;
Karlsborg;1446;Västra Götalands län;14;Kommunal;62;15,9;77,4;..;..;
Karlsborg;1446;Västra Götalands län;14;Enskild;23;15,8;73,9;..;..;
Karlshamn;1082;Blekinge län;10;Samtliga;339;17,0;84,1;5,3;10,6;
Karlshamn;1082;Blekinge län;10;Kommunal;317;17,1;83,9;5,0;11,0;
Karlshamn;1082;Blekinge län;10;Enskild;22;15,5;~100;..;..;
Karlskoga;1883;Örebro län;18;Samtliga;368;17,0;73,1;8,4;18,5;
Karlskoga;1883;Örebro län;18;Kommunal;353;17,0;73,7;8,5;17,8;
Karlskoga;1883;Örebro län;18;Enskild;15;17,0;..;..;..;
Karlskrona;1080;Blekinge län;10;Samtliga;796;16,4;77,5;10,8;11,7;
Karlskrona;1080;Blekinge län;10;Kommunal;611;16,7;74,1;12,3;13,6;
Karlskrona;1080;Blekinge län;10;Enskild;185;15,4;88,6;5,9;5,4;
Karlstad;1780;Värmlands län;17;Samtliga;985;17,1;77,4;9,5;13,1;
Karlstad;1780;Värmlands län;17;Kommunal;797;17,0;75,8;10,3;13,9;
Karlstad;1780;Värmlands län;17;Enskild;188;17,2;84,0;6,4;9,6;
Katrineholm;0483;Södermanlands län;04;Samtliga;432;17,0;68,5;10,4;21,1;
Katrineholm;0483;Södermanlands län;04;Kommunal;364;17,0;65,9;11,5;22,5;
Katrineholm;0483;Södermanlands län;04;Enskild;68;17,0;82,4;..;..;
Kil;1715;Värmlands län;17;Samtliga;130;16,8;70,8;12,3;16,9;
Kil;1715;Värmlands län;17;Kommunal;130;16,8;70,8;12,3;16,9;
Kinda;0513;Östergötlands län;05;Samtliga;105;16,8;66,7;..;..;
Kinda;0513;Östergötlands län;05;Kommunal;105;16,8;66,7;..;..;
Kiruna;2584;Norrbottens län;25;Statlig;..;..;..;..;..;
Kiruna;2584;Norrbottens län;25;Samtliga;232;16,6;75,0;9,1;15,9;
Kiruna;2584;Norrbottens län;25;Kommunal;196;16,5;74,5;9,2;16,3;
Kiruna;2584;Norrbottens län;25;Enskild;24;16,9;~100;..;..;
Klippan;1276;Skåne län;12;Samtliga;156;16,9;72,4;8,3;19,2;
Klippan;1276;Skåne län;12;Kommunal;140;16,9;70,7;7,9;21,4;
Klippan;1276;Skåne län;12;Enskild;16;17,0;~100;..;.;
Knivsta;0330;Uppsala län;03;Samtliga;289;16,6;78,2;10,7;11,1;
Knivsta;0330;Uppsala län;03;Kommunal;267;17,0;78,3;10,1;11,6;
Knivsta;0330;Uppsala län;03;Enskild;22;12,0;77,3;..;..;
Kramfors;2282;Västernorrlands län;22;Samtliga;176;16,9;72,2;9,7;18,2;
Kramfors;2282;Västernorrlands län;22;Kommunal;171;17,0;71,9;9,9;18,1;
Kramfors;2282;Västernorrlands län;22;Enskild;..;..;..;.;..;
Kristianstad;1290;Skåne län;12;Samtliga;1 036;17,0;70,8;8,9;20,4;
Kristianstad;1290;Skåne län;12;Kommunal;929;17,0;70,0;8,6;21,4;
Kristianstad;1290;Skåne län;12;Enskild;107;17,0;77,6;11,2;11,2;
Kristinehamn;1781;Värmlands län;17;Samtliga;254;16,9;72,4;7,9;19,7;
Kristinehamn;1781;Värmlands län;17;Kommunal;254;16,9;72,4;7,9;19,7;
Krokom;2309;Jämtlands län;23;Samtliga;226;15,9;78,8;7,1;14,2;
Krokom;2309;Jämtlands län;23;Kommunal;226;15,9;78,8;7,1;14,2;
Kumla;1881;Örebro län;18;Samtliga;261;16,8;68,6;12,3;19,2;
Kumla;1881;Örebro län;18;Kommunal;261;16,8;68,6;12,3;19,2;
Kungsbacka;1384;Hallands län;13;Samtliga;1 200;15,5;86,0;5,8;8,2;
Kungsbacka;1384;Hallands län;13;Kommunal;1 069;15,6;85,3;6,1;8,6;
Kungsbacka;1384;Hallands län;13;Enskild;131;14,5;91,6;..;..;
Kungsör;1960;Västmanlands län;19;Samtliga;106;15,9;62,3;13,2;24,5;
Kungsör;1960;Västmanlands län;19;Kommunal;106;15,9;62,3;13,2;24,5;
Kungälv;1482;Västra Götalands län;14;Samtliga;579;15,9;83,2;6,6;10,2;
Kungälv;1482;Västra Götalands län;14;Kommunal;518;16,1;83,0;6,4;10,6;
Kungälv;1482;Västra Götalands län;14;Enskild;61;14,4;85,2;..;..;
Kävlinge;1261;Skåne län;12;Samtliga;488;17,0;85,5;5,1;9,4;
Kävlinge;1261;Skåne län;12;Kommunal;416;17,0;83,7;5,8;10,6;
Kävlinge;1261;Skåne län;12;Enskild;72;17,0;~100;..;..;
Köping;1983;Västmanlands län;19;Samtliga;320;15,0;70,3;9,7;20,0;
Köping;1983;Västmanlands län;19;Kommunal;320;15,0;70,3;9,7;20,0;
Laholm;1381;Hallands län;13;Samtliga;285;17,0;69,8;10,5;19,6;
Laholm;1381;Hallands län;13;Kommunal;279;17,0;69,5;10,8;19,7;
Laholm;1381;Hallands län;13;Enskild;..;..;..;.;..;
Landskrona;1282;Skåne län;12;Samtliga;520;16,9;70,0;11,9;18,1;
Landskrona;1282;Skåne län;12;Kommunal;356;16,9;65,4;14,3;20,2;
Landskrona;1282;Skåne län;12;Enskild;164;16,9;79,9;6,7;13,4;
Laxå;1860;Örebro län;18;Samtliga;65;16,9;70,8;..;..;
Laxå;1860;Örebro län;18;Kommunal;65;16,9;70,8;..;..;
Lekeberg;1814;Örebro län;18;Samtliga;116;16,9;77,6;13,8;8,6;
Lekeberg;1814;Örebro län;18;Kommunal;116;16,9;77,6;13,8;8,6;
Leksand;2029;Dalarnas län;20;Samtliga;172;16,0;75,0;12,2;12,8;
Leksand;2029;Dalarnas län;20;Kommunal;140;16,0;74,3;12,9;12,9;
Leksand;2029;Dalarnas län;20;Enskild;32;16,1;78,1;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;672;16,3;76,5;8,8;14,7;
Lerum;1441;Västra Götalands län;14;Kommunal;643;16,4;76,0;8,7;15,2;
Lerum;1441;Västra Götalands län;14;Enskild;29;11,9;~100;..;..;
Lessebo;0761;Kronobergs län;07;Samtliga;117;17,1;39,3;18,8;41,9;
Lessebo;0761;Kronobergs län;07;Kommunal;117;17,1;39,3;18,8;41,9;
Lidingö;0186;Stockholms län;01;Samtliga;629;16,4;87,3;4,5;8,3;
Lidingö;0186;Stockholms län;01;Kommunal;487;17,0;86,4;4,3;9,2;
Lidingö;0186;Stockholms län;01;Enskild;142;14,3;90,1;..;..;
Lidköping;1494;Västra Götalands län;14;Samtliga;452;16,4;78,5;9,3;12,2;
Lidköping;1494;Västra Götalands län;14;Kommunal;416;16,8;77,6;9,4;13,0;
Lidköping;1494;Västra Götalands län;14;Enskild;36;11,9;~100;..;..;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;156;16,9;69,2;16,0;14,7;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;146;16,9;70,5;13,7;15,8;
Lilla Edet;1462;Västra Götalands län;14;Enskild;10;17,3;..;..;.;
Lindesberg;1885;Örebro län;18;Samtliga;270;16,7;61,5;13,3;25,2;
