Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), per kön
Valt läsår: 2024/25

;;;;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Osby;1273;Skåne län;12;Samtliga;76;16,2;75,0;9,2;15,8;88;16,2;67,0;14,8;18,2;
Osby;1273;Skåne län;12;Kommunal;76;16,2;75,0;9,2;15,8;88;16,2;67,0;14,8;18,2;
Oskarshamn;0882;Kalmar län;08;Samtliga;158;17,0;67,1;12,7;20,3;159;17,0;62,3;8,2;29,6;
Oskarshamn;0882;Kalmar län;08;Kommunal;155;17,0;66,5;12,9;20,6;155;17,0;61,3;8,4;30,3;
Oskarshamn;0882;Kalmar län;08;Enskild;..;..;..;.;.;..;..;..;.;.;
Ovanåker;2121;Gävleborgs län;21;Samtliga;62;17,0;82,3;..;..;74;16,9;58,1;12,2;29,7;
Ovanåker;2121;Gävleborgs län;21;Kommunal;62;17,0;82,3;..;..;74;16,9;58,1;12,2;29,7;
Oxelösund;0481;Södermanlands län;04;Samtliga;67;17,1;64,2;9,0;26,9;60;17,0;55,0;18,3;26,7;
Oxelösund;0481;Södermanlands län;04;Kommunal;67;17,1;64,2;9,0;26,9;60;17,0;55,0;18,3;26,7;
Pajala;2521;Norrbottens län;25;Samtliga;28;16,9;67,9;..;..;30;16,7;60,0;23,3;16,7;
Pajala;2521;Norrbottens län;25;Kommunal;27;16,9;66,7;..;..;27;16,7;59,3;22,2;18,5;
Pajala;2521;Norrbottens län;25;Enskild;..;..;..;.;.;..;..;..;..;.;
Partille;1402;Västra Götalands län;14;Samtliga;284;15,5;78,9;8,1;13,0;292;15,6;71,2;7,9;20,9;
Partille;1402;Västra Götalands län;14;Kommunal;271;15,4;78,2;8,5;13,3;283;15,5;70,3;8,1;21,6;
Partille;1402;Västra Götalands län;14;Enskild;13;17,0;~100;.;..;9;17,0;100,0;.;.;
Perstorp;1275;Skåne län;12;Samtliga;39;16,7;51,3;20,5;28,2;49;16,8;57,1;..;..;
Perstorp;1275;Skåne län;12;Kommunal;39;16,7;51,3;20,5;28,2;49;16,8;57,1;..;..;
Piteå;2581;Norrbottens län;25;Samtliga;224;16,7;80,4;8,9;10,7;234;16,7;78,6;5,6;15,8;
Piteå;2581;Norrbottens län;25;Kommunal;216;16,9;80,1;9,3;10,6;227;16,8;78,4;5,3;16,3;
Piteå;2581;Norrbottens län;25;Enskild;8;12,0;~100;.;..;7;12,0;~100;..;.;
Ragunda;2303;Jämtlands län;23;Samtliga;32;16,8;56,3;21,9;21,9;32;16,7;53,1;15,6;31,3;
Ragunda;2303;Jämtlands län;23;Kommunal;32;16,8;56,3;21,9;21,9;32;16,7;53,1;15,6;31,3;
Robertsfors;2409;Västerbottens län;24;Samtliga;35;17,0;85,7;..;..;42;16,9;69,0;14,3;16,7;
Robertsfors;2409;Västerbottens län;24;Kommunal;35;17,0;85,7;..;..;42;16,9;69,0;14,3;16,7;
Ronneby;1081;Blekinge län;10;Samtliga;175;17,1;67,4;15,4;17,1;168;17,0;61,9;13,1;25,0;
Ronneby;1081;Blekinge län;10;Kommunal;148;17,1;66,9;16,9;16,2;148;17,0;60,1;14,9;25,0;
Ronneby;1081;Blekinge län;10;Enskild;27;16,9;70,4;..;..;20;16,9;75,0;.;25,0;
Rättvik;2031;Dalarnas län;20;Samtliga;30;16,1;73,3;..;..;56;16,2;66,1;12,5;21,4;
Rättvik;2031;Dalarnas län;20;Kommunal;30;16,1;73,3;..;..;56;16,2;66,1;12,5;21,4;
Sala;1981;Västmanlands län;19;Samtliga;148;17,1;75,7;8,1;16,2;139;17,1;63,3;10,8;25,9;
Sala;1981;Västmanlands län;19;Kommunal;148;17,1;75,7;8,1;16,2;139;17,1;63,3;10,8;25,9;
Salem;0128;Stockholms län;01;Samtliga;108;17,2;72,2;14,8;13,0;120;17,0;60,0;10,0;30,0;
Salem;0128;Stockholms län;01;Kommunal;96;17,2;70,8;15,6;13,5;104;17,0;55,8;9,6;34,6;
Salem;0128;Stockholms län;01;Enskild;12;17,2;~100;..;..;16;17,1;~100;..;.;
Sandviken;2181;Gävleborgs län;21;Samtliga;237;17,0;57,0;19,0;24,1;206;16,9;57,8;12,1;30,1;
Sandviken;2181;Gävleborgs län;21;Kommunal;223;17,0;56,5;19,7;23,8;196;16,9;55,6;12,8;31,6;
Sandviken;2181;Gävleborgs län;21;Enskild;14;17,0;64,3;..;..;10;17,0;100,0;.;.;
Sigtuna;0191;Stockholms län;01;Samtliga;305;16,9;70,8;11,8;17,4;298;16,9;67,1;9,4;23,5;
Sigtuna;0191;Stockholms län;01;Kommunal;255;17,2;70,6;11,4;18,0;254;17,1;64,6;9,4;26,0;
Sigtuna;0191;Stockholms län;01;Enskild;50;15,4;72,0;14,0;14,0;44;15,6;81,8;..;..;
Simrishamn;1291;Skåne län;12;Samtliga;75;16,0;89,3;..;..;83;16,5;74,7;6,0;19,3;
Simrishamn;1291;Skåne län;12;Kommunal;52;17,2;88,5;..;..;63;17,1;69,8;7,9;22,2;
Simrishamn;1291;Skåne län;12;Enskild;23;13,3;~100;..;..;20;14,7;~100;.;..;
Sjöbo;1265;Skåne län;12;Samtliga;84;16,6;72,6;7,1;20,2;116;16,9;61,2;10,3;28,4;
Sjöbo;1265;Skåne län;12;Kommunal;65;16,9;72,3;..;..;101;17,0;57,4;9,9;32,7;
Sjöbo;1265;Skåne län;12;Enskild;19;15,6;73,7;..;..;15;16,3;~100;..;.;
Skara;1495;Västra Götalands län;14;Samtliga;109;16,6;64,2;14,7;21,1;119;16,0;46,2;18,5;35,3;
Skara;1495;Västra Götalands län;14;Kommunal;103;17,0;64,1;13,6;22,3;105;16,8;41,9;19,0;39,0;
Skara;1495;Västra Götalands län;14;Enskild;6;9,8;..;..;.;14;9,9;~100;..;..;
Skellefteå;2482;Västerbottens län;24;Samtliga;388;16,1;75,8;8,2;16,0;418;16,2;69,4;11,0;19,6;
Skellefteå;2482;Västerbottens län;24;Kommunal;368;16,1;76,4;7,9;15,8;395;16,2;69,6;10,4;20,0;
Skellefteå;2482;Västerbottens län;24;Enskild;20;15,7;65,0;..;..;23;16,0;65,2;..;..;
Skinnskatteberg;1904;Västmanlands län;19;Samtliga;22;16,7;54,5;..;..;21;16,6;33,3;28,6;38,1;
Skinnskatteberg;1904;Västmanlands län;19;Kommunal;22;16,7;54,5;..;..;21;16,6;33,3;28,6;38,1;
Skurup;1264;Skåne län;12;Samtliga;98;17,0;69,4;12,2;18,4;111;16,9;64,0;12,6;23,4;
Skurup;1264;Skåne län;12;Kommunal;98;17,0;69,4;12,2;18,4;105;16,9;64,8;12,4;22,9;
Skurup;1264;Skåne län;12;Enskild;.;.;.;.;.;6;16,2;..;..;..;
Skövde;1496;Västra Götalands län;14;Samtliga;320;17,0;74,4;10,9;14,7;324;16,9;75,0;9,6;15,4;
Skövde;1496;Västra Götalands län;14;Kommunal;282;17,0;75,2;10,6;14,2;292;16,9;73,6;9,9;16,4;
Skövde;1496;Västra Götalands län;14;Enskild;38;17,0;68,4;13,2;18,4;32;17,0;~100;..;..;
Smedjebacken;2061;Dalarnas län;20;Samtliga;36;16,8;63,9;16,7;19,4;71;17,0;57,7;15,5;26,8;
Smedjebacken;2061;Dalarnas län;20;Kommunal;36;16,8;63,9;16,7;19,4;71;17,0;57,7;15,5;26,8;
Sollefteå;2283;Västernorrlands län;22;Samtliga;87;16,2;71,3;10,3;18,4;91;16,3;62,6;11,0;26,4;
Sollefteå;2283;Västernorrlands län;22;Kommunal;87;16,2;71,3;10,3;18,4;89;16,3;64,0;9,0;27,0;
Sollefteå;2283;Västernorrlands län;22;Enskild;..;.;.;.;.;..;..;.;..;.;
Sollentuna;0163;Stockholms län;01;Samtliga;508;15,8;81,5;8,7;9,8;528;15,9;76,9;7,8;15,3;
Sollentuna;0163;Stockholms län;01;Kommunal;384;15,6;83,1;8,1;8,9;394;15,7;78,7;6,3;15,0;
Sollentuna;0163;Stockholms län;01;Enskild;124;16,4;76,6;10,5;12,9;134;16,2;71,6;11,9;16,4;
Solna;0184;Stockholms län;01;Samtliga;329;17,0;73,6;9,4;17,0;338;17,0;72,5;10,9;16,6;
Solna;0184;Stockholms län;01;Kommunal;132;17,1;68,9;9,1;22,0;154;17,1;69,5;14,3;16,2;
Solna;0184;Stockholms län;01;Enskild;197;16,9;76,6;9,6;13,7;184;16,8;75,0;8,2;16,8;
Sorsele;2422;Västerbottens län;24;Samtliga;13;11,9;~100;..;.;12;12,2;~100;..;.;
Sorsele;2422;Västerbottens län;24;Kommunal;13;11,9;~100;..;.;12;12,2;~100;..;.;
Sotenäs;1427;Västra Götalands län;14;Samtliga;40;16,9;85,0;..;..;40;16,7;67,5;..;..;
Sotenäs;1427;Västra Götalands län;14;Kommunal;40;16,9;85,0;..;..;40;16,7;67,5;..;..;
Staffanstorp;1230;Skåne län;12;Samtliga;214;17,0;78,5;10,7;10,7;212;16,8;75,9;7,5;16,5;
Staffanstorp;1230;Skåne län;12;Kommunal;175;17,0;79,4;10,9;9,7;180;17,0;78,9;7,2;13,9;
Staffanstorp;1230;Skåne län;12;Enskild;39;17,0;74,4;..;..;32;15,5;59,4;..;..;
Stenungsund;1415;Västra Götalands län;14;Samtliga;174;17,0;77,0;14,4;8,6;186;16,9;69,9;11,3;18,8;
Stenungsund;1415;Västra Götalands län;14;Kommunal;163;17,0;76,7;14,7;8,6;175;17,0;70,9;12,0;17,1;
Stenungsund;1415;Västra Götalands län;14;Enskild;11;16,3;~100;..;..;11;16,1;54,5;.;45,5;
Stockholm;0180;Stockholms län;01;Samtliga;5 168;16,6;78,4;10,1;11,5;5 349;16,5;74,8;9,0;16,2;
Stockholm;0180;Stockholms län;01;Kommunal;3 559;16,6;79,9;8,8;11,3;3 777;16,6;76,4;7,9;15,7;
Stockholm;0180;Stockholms län;01;Enskild;1 609;16,4;75,2;12,9;11,9;1 572;16,2;70,9;11,6;17,5;
Storfors;1760;Värmlands län;17;Samtliga;24;16,8;70,8;..;..;15;16,6;46,7;..;..;
Storfors;1760;Värmlands län;17;Kommunal;24;16,8;70,8;..;..;15;16,6;46,7;..;..;
Storuman;2421;Västerbottens län;24;Statlig;..;..;..;..;..;..;..;..;..;..;
Storuman;2421;Västerbottens län;24;Samtliga;28;16,9;78,6;..;..;29;16,7;48,3;20,7;31,0;
Storuman;2421;Västerbottens län;24;Kommunal;28;16,9;78,6;..;..;28;16,7;46,4;21,4;32,1;
Strängnäs;0486;Södermanlands län;04;Samtliga;246;17,0;72,8;8,5;18,7;225;17,0;71,6;8,0;20,4;
Strängnäs;0486;Södermanlands län;04;Kommunal;134;17,0;63,4;9,0;27,6;108;17,0;62,0;6,5;31,5;
Strängnäs;0486;Södermanlands län;04;Enskild;112;16,9;83,9;8,0;8,0;117;17,0;80,3;9,4;10,3;
Strömstad;1486;Västra Götalands län;14;Samtliga;88;16,6;61,4;18,2;20,5;93;16,8;59,1;12,9;28,0;
Strömstad;1486;Västra Götalands län;14;Kommunal;88;16,6;61,4;18,2;20,5;93;16,8;59,1;12,9;28,0;
Strömsund;2313;Jämtlands län;23;Samtliga;67;13,4;62,7;19,4;17,9;56;14,0;69,6;14,3;16,1;
Strömsund;2313;Jämtlands län;23;Kommunal;67;13,4;62,7;19,4;17,9;56;14,0;69,6;14,3;16,1;
Sundbyberg;0183;Stockholms län;01;Samtliga;333;17,2;71,2;13,5;15,3;318;17,2;69,8;11,6;18,6;
Sundbyberg;0183;Stockholms län;01;Kommunal;178;17,2;75,3;12,9;11,8;202;17,2;77,2;8,4;14,4;
Sundbyberg;0183;Stockholms län;01;Enskild;155;17,3;66,5;14,2;19,4;116;17,2;56,9;17,2;25,9;
Sundsvall;2281;Västernorrlands län;22;Samtliga;506;16,8;70,0;10,5;19,6;575;16,7;65,6;10,3;24,2;
Sundsvall;2281;Västernorrlands län;22;Kommunal;310;16,9;64,2;12,6;23,2;346;16,8;56,6;11,3;32,1;
Sundsvall;2281;Västernorrlands län;22;Enskild;196;16,8;79,1;7,1;13,8;229;16,7;79,0;8,7;12,2;
Sunne;1766;Värmlands län;17;Samtliga;71;16,7;71,8;9,9;18,3;71;16,9;74,6;14,1;11,3;
Sunne;1766;Värmlands län;17;Kommunal;61;17,0;67,2;11,5;21,3;66;17,0;72,7;15,2;12,1;
Sunne;1766;Värmlands län;17;Enskild;10;15,0;100,0;.;.;5;14,8;100,0;.;.;
Surahammar;1907;Västmanlands län;19;Samtliga;57;17,0;73,7;12,3;14,0;73;16,9;65,8;8,2;26,0;
Surahammar;1907;Västmanlands län;19;Kommunal;57;17,0;73,7;12,3;14,0;73;16,9;65,8;8,2;26,0;
Svalöv;1214;Skåne län;12;Samtliga;65;16,9;75,4;15,4;9,2;94;16,6;64,9;11,7;23,4;
Svalöv;1214;Skåne län;12;Kommunal;61;16,9;77,0;14,8;8,2;80;16,7;66,3;12,5;21,3;
Svalöv;1214;Skåne län;12;Enskild;..;..;..;..;..;..;16,5;57,1;..;..;
Svedala;1263;Skåne län;12;Samtliga;196;17,1;74,0;9,7;16,3;215;17,0;65,1;12,6;22,3;
Svedala;1263;Skåne län;12;Kommunal;196;17,1;74,0;9,7;16,3;215;17,0;65,1;12,6;22,3;
Svenljunga;1465;Västra Götalands län;14;Samtliga;49;16,9;51,0;18,4;30,6;69;16,9;56,5;14,5;29,0;
Svenljunga;1465;Västra Götalands län;14;Kommunal;49;16,9;51,0;18,4;30,6;69;16,9;56,5;14,5;29,0;
Säffle;1785;Värmlands län;17;Samtliga;71;16,7;60,6;9,9;29,6;72;16,7;50,0;15,3;34,7;
Säffle;1785;Värmlands län;17;Kommunal;63;16,9;63,5;9,5;27,0;67;16,8;50,7;16,4;32,8;
Säffle;1785;Värmlands län;17;Enskild;8;14,9;..;..;..;5;15,0;..;.;..;
Säter;2082;Dalarnas län;20;Samtliga;56;17,1;60,7;14,3;25,0;59;16,9;67,8;13,6;18,6;
Säter;2082;Dalarnas län;20;Kommunal;56;17,1;60,7;14,3;25,0;59;16,9;67,8;13,6;18,6;
Sävsjö;0684;Jönköpings län;06;Samtliga;66;16,9;75,8;..;..;72;17,0;68,1;6,9;25,0;
Sävsjö;0684;Jönköpings län;06;Kommunal;60;17,0;76,7;..;..;65;17,1;70,8;..;..;
Sävsjö;0684;Jönköpings län;06;Enskild;6;16,0;..;..;..;7;16,0;..;..;..;
Söderhamn;2182;Gävleborgs län;21;Samtliga;135;16,7;59,3;14,1;26,7;140;16,5;49,3;12,1;38,6;
Söderhamn;2182;Gävleborgs län;21;Kommunal;123;17,0;61,0;12,2;26,8;127;16,7;49,6;11,0;39,4;
Söderhamn;2182;Gävleborgs län;21;Enskild;12;13,4;41,7;..;..;13;14,2;46,2;..;..;
Söderköping;0582;Östergötlands län;05;Samtliga;94;16,8;70,2;7,4;22,3;90;16,8;63,3;10,0;26,7;
Söderköping;0582;Östergötlands län;05;Kommunal;94;16,8;70,2;7,4;22,3;90;16,8;63,3;10,0;26,7;
Södertälje;0181;Stockholms län;01;Samtliga;571;17,2;61,8;17,3;20,8;623;17,1;58,1;16,7;25,2;
Södertälje;0181;Stockholms län;01;Kommunal;434;17,2;62,7;15,2;22,1;480;17,1;57,3;15,6;27,1;
Södertälje;0181;Stockholms län;01;Enskild;137;17,2;59,1;24,1;16,8;143;17,2;60,8;20,3;18,9;
Sölvesborg;1083;Blekinge län;10;Samtliga;82;16,8;69,5;8,5;22,0;104;16,8;67,3;11,5;21,2;
Sölvesborg;1083;Blekinge län;10;Kommunal;82;16,8;69,5;8,5;22,0;104;16,8;67,3;11,5;21,2;
Tanum;1435;Västra Götalands län;14;Samtliga;53;16,6;64,2;9,4;26,4;59;16,6;57,6;11,9;30,5;
Tanum;1435;Västra Götalands län;14;Kommunal;53;16,6;64,2;9,4;26,4;59;16,6;57,6;11,9;30,5;
Tibro;1472;Västra Götalands län;14;Samtliga;50;16,9;66,0;16,0;18,0;60;17,0;66,7;11,7;21,7;
Tibro;1472;Västra Götalands län;14;Kommunal;50;16,9;66,0;16,0;18,0;60;17,0;66,7;11,7;21,7;
Tidaholm;1498;Västra Götalands län;14;Samtliga;94;17,0;73,4;14,9;11,7;84;16,8;67,9;8,3;23,8;
Tidaholm;1498;Västra Götalands län;14;Kommunal;94;17,0;73,4;14,9;11,7;84;16,8;67,9;8,3;23,8;
Tierp;0360;Uppsala län;03;Samtliga;115;16,8;61,7;11,3;27,0;123;16,9;59,3;16,3;24,4;
Tierp;0360;Uppsala län;03;Kommunal;115;16,8;61,7;11,3;27,0;123;16,9;59,3;16,3;24,4;
Timrå;2262;Västernorrlands län;22;Samtliga;91;17,1;74,7;11,0;14,3;105;16,9;71,4;11,4;17,1;
Timrå;2262;Västernorrlands län;22;Kommunal;91;17,1;74,7;11,0;14,3;105;16,9;71,4;11,4;17,1;
Tingsryd;0763;Kronobergs län;07;Samtliga;54;16,9;63,0;16,7;20,4;68;16,8;61,8;8,8;29,4;
Tingsryd;0763;Kronobergs län;07;Kommunal;50;16,9;64,0;16,0;20,0;62;16,8;59,7;9,7;30,6;
Tingsryd;0763;Kronobergs län;07;Enskild;..;..;..;..;..;..;16,8;~100;.;..;
Tjörn;1419;Västra Götalands län;14;Samtliga;74;15,9;73,0;16,2;10,8;76;15,8;72,4;9,2;18,4;
Tjörn;1419;Västra Götalands län;14;Kommunal;74;15,9;73,0;16,2;10,8;76;15,8;72,4;9,2;18,4;
Tomelilla;1270;Skåne län;12;Samtliga;69;16,7;62,3;11,6;26,1;60;16,7;68,3;..;..;
Tomelilla;1270;Skåne län;12;Kommunal;62;16,6;59,7;12,9;27,4;47;16,6;63,8;.;36,2;
Tomelilla;1270;Skåne län;12;Enskild;7;17,0;~100;.;..;13;17,0;~100;..;.;
Torsby;1737;Värmlands län;17;Samtliga;57;17,0;80,7;8,8;10,5;74;16,9;60,8;16,2;23,0;
Torsby;1737;Värmlands län;17;Kommunal;57;17,0;80,7;8,8;10,5;74;16,9;60,8;16,2;23,0;
Torsås;0834;Kalmar län;08;Samtliga;32;16,8;68,8;..;..;22;16,9;68,2;..;..;
Torsås;0834;Kalmar län;08;Kommunal;32;16,8;68,8;..;..;22;16,9;68,2;..;..;
Tranemo;1452;Västra Götalands län;14;Samtliga;75;17,0;73,3;6,7;20,0;79;16,8;63,3;11,4;25,3;
Tranemo;1452;Västra Götalands län;14;Kommunal;75;17,0;73,3;6,7;20,0;79;16,8;63,3;11,4;25,3;
Tranås;0687;Jönköpings län;06;Samtliga;114;16,6;61,4;12,3;26,3;130;16,5;69,2;6,9;23,8;
Tranås;0687;Jönköpings län;06;Kommunal;106;16,9;64,2;11,3;24,5;123;16,7;70,7;6,5;22,8;
Tranås;0687;Jönköpings län;06;Enskild;8;11,9;..;..;..;7;11,7;..;..;..;
Trelleborg;1287;Skåne län;12;Samtliga;260;17,1;66,5;9,2;24,2;258;17,0;67,1;9,3;23,6;
Trelleborg;1287;Skåne län;12;Kommunal;224;17,2;65,6;8,5;25,9;227;17,0;64,8;10,1;25,1;
Trelleborg;1287;Skåne län;12;Enskild;36;16,3;72,2;13,9;13,9;31;16,6;83,9;..;..;
Trollhättan;1488;Västra Götalands län;14;Samtliga;356;16,6;66,6;14,6;18,8;340;16,5;56,8;10,9;32,4;
Trollhättan;1488;Västra Götalands län;14;Kommunal;300;17,0;69,3;14,0;16,7;286;16,9;55,2;11,5;33,2;
Trollhättan;1488;Västra Götalands län;14;Enskild;56;14,3;51,8;17,9;30,4;54;14,1;64,8;..;..;
Trosa;0488;Södermanlands län;04;Samtliga;78;17,0;75,6;12,8;11,5;82;17,0;80,5;12,2;7,3;
Trosa;0488;Södermanlands län;04;Kommunal;78;17,0;75,6;12,8;11,5;82;17,0;80,5;12,2;7,3;
Tyresö;0138;Stockholms län;01;Samtliga;299;17,1;74,6;13,0;12,4;374;17,0;74,9;9,9;15,2;
Tyresö;0138;Stockholms län;01;Kommunal;219;17,0;78,5;8,7;12,8;293;16,9;75,1;9,6;15,4;
Tyresö;0138;Stockholms län;01;Enskild;80;17,3;63,8;25,0;11,3;81;17,3;74,1;11,1;14,8;
Täby;0160;Stockholms län;01;Samtliga;597;17,0;85,6;5,0;9,4;625;16,9;82,1;7,8;10,1;
Täby;0160;Stockholms län;01;Kommunal;269;17,0;87,4;3,0;9,7;256;17,0;80,9;6,6;12,5;
Täby;0160;Stockholms län;01;Enskild;328;17,0;84,1;6,7;9,1;369;16,9;82,9;8,7;8,4;
Töreboda;1473;Västra Götalands län;14;Samtliga;39;16,9;66,7;..;..;49;16,8;59,2;..;..;
Töreboda;1473;Västra Götalands län;14;Kommunal;36;16,9;63,9;..;..;44;16,8;56,8;..;..;
Töreboda;1473;Västra Götalands län;14;Enskild;..;..;..;.;.;..;17,0;..;.;..;
Uddevalla;1485;Västra Götalands län;14;Samtliga;327;16,8;68,5;12,5;19,0;368;16,8;62,8;16,3;20,9;
Uddevalla;1485;Västra Götalands län;14;Kommunal;288;17,0;70,1;11,8;18,1;326;17,0;64,7;15,6;19,6;
Uddevalla;1485;Västra Götalands län;14;Enskild;39;15,4;56,4;17,9;25,6;42;15,3;47,6;21,4;31,0;
Ulricehamn;1491;Västra Götalands län;14;Samtliga;130;17,0;70,0;9,2;20,8;109;17,0;62,4;11,9;25,7;
Ulricehamn;1491;Västra Götalands län;14;Kommunal;130;17,0;70,0;9,2;20,8;109;17,0;62,4;11,9;25,7;
Umeå;2480;Västerbottens län;24;Samtliga;707;16,1;79,9;8,8;11,3;768;16,1;76,7;8,1;15,2;
Umeå;2480;Västerbottens län;24;Kommunal;580;16,3;79,5;9,5;11,0;633;16,3;76,8;8,2;15,0;
Umeå;2480;Västerbottens län;24;Enskild;127;15,1;81,9;5,5;12,6;135;14,9;76,3;7,4;16,3;
Upplands Väsby;0114;Stockholms län;01;Samtliga;307;15,5;68,4;14,3;17,3;294;15,5;66,3;10,9;22,8;
Upplands Väsby;0114;Stockholms län;01;Kommunal;125;17,2;55,2;16,0;28,8;137;17,0;54,7;12,4;32,8;
Upplands Väsby;0114;Stockholms län;01;Enskild;182;14,3;77,5;13,2;9,3;157;14,2;76,4;9,6;14,0;
Upplands-Bro;0139;Stockholms län;01;Samtliga;210;15,8;67,1;17,6;15,2;210;15,9;68,6;10,0;21,4;
Upplands-Bro;0139;Stockholms län;01;Kommunal;166;15,4;67,5;15,1;17,5;178;15,7;69,1;9,0;21,9;
Upplands-Bro;0139;Stockholms län;01;Enskild;44;17,2;65,9;..;..;32;17,1;65,6;15,6;18,8;
Uppsala;0380;Uppsala län;03;Samtliga;1 306;16,6;74,7;10,8;14,5;1 400;16,7;71,1;10,9;17,9;
Uppsala;0380;Uppsala län;03;Kommunal;931;17,0;71,1;11,7;17,2;1 059;17,0;67,5;11,3;21,2;
Uppsala;0380;Uppsala län;03;Enskild;375;15,7;83,7;8,5;7,7;341;15,9;82,4;9,7;7,9;
Uppvidinge;0760;Kronobergs län;07;Samtliga;42;17,0;69,0;16,7;14,3;51;16,9;62,7;11,8;25,5;
Uppvidinge;0760;Kronobergs län;07;Kommunal;38;16,9;65,8;18,4;15,8;48;16,9;60,4;12,5;27,1;
Uppvidinge;0760;Kronobergs län;07;Enskild;..;..;..;.;.;..;..;..;.;.;
Vadstena;0584;Östergötlands län;05;Samtliga;43;16,9;86,0;..;..;38;16,9;68,4;..;..;
Vadstena;0584;Östergötlands län;05;Kommunal;43;16,9;86,0;..;..;38;16,9;68,4;..;..;
Vaggeryd;0665;Jönköpings län;06;Samtliga;97;13,9;74,2;9,3;16,5;94;14,1;60,6;8,5;30,9;
Vaggeryd;0665;Jönköpings län;06;Kommunal;91;13,7;73,6;8,8;17,6;91;14,1;60,4;8,8;30,8;
Vaggeryd;0665;Jönköpings län;06;Enskild;..;16,8;~100;..;.;..;..;..;.;..;
Valdemarsvik;0563;Östergötlands län;05;Samtliga;25;16,2;40,0;24,0;36,0;40;16,4;42,5;17,5;40,0;
Valdemarsvik;0563;Östergötlands län;05;Kommunal;21;16,1;42,9;..;..;36;16,3;41,7;19,4;38,9;
Valdemarsvik;0563;Östergötlands län;05;Enskild;..;..;..;..;..;..;..;..;.;..;
Vallentuna;0115;Stockholms län;01;Samtliga;236;15,9;75,4;10,2;14,4;248;16,1;77,0;7,3;15,7;
Vallentuna;0115;Stockholms län;01;Kommunal;177;17,0;77,4;11,9;10,7;195;17,0;77,9;8,7;13,3;
Vallentuna;0115;Stockholms län;01;Enskild;59;12,6;69,5;..;..;53;12,7;73,6;..;..;
Vansbro;2021;Dalarnas län;20;Samtliga;37;16,9;56,8;..;..;39;16,9;74,4;..;..;
Vansbro;2021;Dalarnas län;20;Kommunal;31;16,9;54,8;..;..;32;16,9;75,0;..;..;
Vansbro;2021;Dalarnas län;20;Enskild;6;17,0;..;..;..;7;16,9;~100;..;..;
Vara;1470;Västra Götalands län;14;Samtliga;88;16,4;79,5;11,4;9,1;103;16,3;73,8;9,7;16,5;
Vara;1470;Västra Götalands län;14;Kommunal;82;16,5;78,0;12,2;9,8;90;16,3;72,2;11,1;16,7;
Vara;1470;Västra Götalands län;14;Enskild;6;15,0;100,0;.;.;13;15,7;~100;.;..;
Varberg;1383;Hallands län;13;Samtliga;381;16,5;74,8;11,5;13,6;396;16,5;68,4;10,4;21,2;
Varberg;1383;Hallands län;13;Kommunal;346;16,4;74,3;11,8;13,9;362;16,5;69,1;10,8;20,2;
Varberg;1383;Hallands län;13;Enskild;35;17,1;80,0;..;..;34;17,0;61,8;..;..;
Vaxholm;0187;Stockholms län;01;Samtliga;78;15,8;87,2;..;..;75;16,0;80,0;10,7;9,3;
Vaxholm;0187;Stockholms län;01;Kommunal;78;15,8;87,2;..;..;74;16,0;79,7;10,8;9,5;
Vaxholm;0187;Stockholms län;01;Enskild;..;.;.;.;.;..;..;..;.;.;
Vellinge;1233;Skåne län;12;Samtliga;234;15,0;85,5;5,6;9,0;276;15,3;83,7;6,9;9,4;
Vellinge;1233;Skåne län;12;Kommunal;152;15,1;84,2;3,9;11,8;188;15,4;80,9;8,0;11,2;
Vellinge;1233;Skåne län;12;Enskild;82;14,8;87,8;..;..;88;15,1;89,8;..;..;
Vetlanda;0685;Jönköpings län;06;Samtliga;149;17,1;72,5;10,1;17,4;182;17,0;56,0;17,6;26,4;
Vetlanda;0685;Jönköpings län;06;Kommunal;146;17,1;73,3;9,6;17,1;180;17,0;56,7;17,2;26,1;
Vetlanda;0685;Jönköpings län;06;Enskild;..;..;..;..;..;..;..;.;..;..;
Vilhelmina;2462;Västerbottens län;24;Samtliga;34;16,4;52,9;14,7;32,4;32;16,4;59,4;15,6;25,0;
Vilhelmina;2462;Västerbottens län;24;Kommunal;33;16,3;54,5;15,2;30,3;28;16,4;64,3;..;..;
Vilhelmina;2462;Västerbottens län;24;Enskild;..;..;.;.;..;..;..;..;..;..;
Vimmerby;0884;Kalmar län;08;Samtliga;86;16,9;70,9;10,5;18,6;94;17,0;71,3;16,0;12,8;
Vimmerby;0884;Kalmar län;08;Kommunal;86;16,9;70,9;10,5;18,6;94;17,0;71,3;16,0;12,8;
