Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2019/20

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Avesta;2084;Dalarnas län;20;Kommunal;265;17,0;58,9;16,2;24,9;
Avesta;2084;Dalarnas län;20;Enskild;19;14,4;73,7;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;93;11,6;49,5;12,9;37,6;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;93;11,6;49,5;12,9;37,6;
Berg;2326;Jämtlands län;23;Samtliga;80;16,9;70,0;..;..;
Berg;2326;Jämtlands län;23;Kommunal;74;16,9;67,6;..;..;
Berg;2326;Jämtlands län;23;Enskild;..;..;..;.;.;
Bjurholm;2403;Västerbottens län;24;Samtliga;28;16,9;75,0;..;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;28;16,9;75,0;..;..;
Bjuv;1260;Skåne län;12;Samtliga;178;17,0;59,0;10,1;30,9;
Bjuv;1260;Skåne län;12;Kommunal;178;17,0;59,0;10,1;30,9;
Boden;2582;Norrbottens län;25;Samtliga;304;15,9;76,3;8,6;15,1;
Boden;2582;Norrbottens län;25;Kommunal;249;15,9;75,9;8,4;15,7;
Boden;2582;Norrbottens län;25;Enskild;55;16,0;78,2;..;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;126;16,8;69,8;8,7;21,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;104;16,8;65,4;9,6;25,0;
Bollebygd;1443;Västra Götalands län;14;Enskild;22;17,0;~100;..;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;290;17,0;70,7;10,3;19,0;
Bollnäs;2183;Gävleborgs län;21;Kommunal;256;17,1;70,3;10,2;19,5;
Bollnäs;2183;Gävleborgs län;21;Enskild;34;16,6;73,5;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;101;16,9;64,4;17,8;17,8;
Borgholm;0885;Kalmar län;08;Kommunal;101;16,9;64,4;17,8;17,8;
Borlänge;2081;Dalarnas län;20;Samtliga;655;17,0;60,5;12,7;26,9;
Borlänge;2081;Dalarnas län;20;Kommunal;596;17,0;59,7;12,6;27,7;
Borlänge;2081;Dalarnas län;20;Enskild;59;16,6;67,8;..;..;
Borås;1490;Västra Götalands län;14;Samtliga;1 370;16,9;70,5;10,1;19,4;
Borås;1490;Västra Götalands län;14;Kommunal;1 088;17,0;68,3;10,0;21,7;
Borås;1490;Västra Götalands län;14;Enskild;282;16,9;79,1;10,3;10,6;
Botkyrka;0127;Stockholms län;01;Samtliga;1 014;16,1;60,4;12,0;27,6;
Botkyrka;0127;Stockholms län;01;Kommunal;869;16,3;59,5;11,0;29,5;
Botkyrka;0127;Stockholms län;01;Enskild;145;15,3;65,5;17,9;16,6;
Boxholm;0560;Östergötlands län;05;Samtliga;54;11,9;75,9;..;..;
Boxholm;0560;Östergötlands län;05;Kommunal;54;11,9;75,9;..;..;
Bromölla;1272;Skåne län;12;Samtliga;158;16,7;71,5;10,8;17,7;
Bromölla;1272;Skåne län;12;Kommunal;158;16,7;71,5;10,8;17,7;
Bräcke;2305;Jämtlands län;23;Samtliga;56;14,5;71,4;..;..;
Bräcke;2305;Jämtlands län;23;Kommunal;56;14,5;71,4;..;..;
Burlöv;1231;Skåne län;12;Samtliga;179;17,2;62,6;12,3;25,1;
Burlöv;1231;Skåne län;12;Kommunal;179;17,2;62,6;12,3;25,1;
Båstad;1278;Skåne län;12;Samtliga;157;16,4;79,6;7,0;13,4;
Båstad;1278;Skåne län;12;Kommunal;139;17,0;79,1;..;..;
Båstad;1278;Skåne län;12;Enskild;18;12,1;~100;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;48;17,0;62,5;..;..;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;48;17,0;62,5;..;..;
Danderyd;0162;Stockholms län;01;Samtliga;497;16,9;94,2;2,2;3,6;
Danderyd;0162;Stockholms län;01;Kommunal;455;17,1;94,3;2,2;3,5;
Danderyd;0162;Stockholms län;01;Enskild;42;14,9;~100;..;..;
Degerfors;1862;Örebro län;18;Samtliga;99;16,7;64,6;12,1;23,2;
Degerfors;1862;Örebro län;18;Kommunal;99;16,7;64,6;12,1;23,2;
Dorotea;2425;Västerbottens län;24;Samtliga;19;15,9;52,6;..;..;
Dorotea;2425;Västerbottens län;24;Kommunal;19;15,9;52,6;..;..;
Eda;1730;Värmlands län;17;Samtliga;81;16,8;56,8;14,8;28,4;
Eda;1730;Värmlands län;17;Kommunal;81;16,8;56,8;14,8;28,4;
Ekerö;0125;Stockholms län;01;Samtliga;416;16,3;85,6;7,2;7,2;
Ekerö;0125;Stockholms län;01;Kommunal;384;16,4;84,9;7,3;7,8;
Ekerö;0125;Stockholms län;01;Enskild;32;15,0;~100;..;.;
Eksjö;0686;Jönköpings län;06;Samtliga;196;16,9;64,3;10,7;25,0;
Eksjö;0686;Jönköpings län;06;Kommunal;193;17,0;65,3;10,4;24,4;
Eksjö;0686;Jönköpings län;06;Enskild;..;..;.;..;..;
Emmaboda;0862;Kalmar län;08;Samtliga;106;16,8;50,0;14,2;35,8;
Emmaboda;0862;Kalmar län;08;Kommunal;106;16,8;50,0;14,2;35,8;
Enköping;0381;Uppsala län;03;Samtliga;505;17,0;69,9;8,7;21,4;
Enköping;0381;Uppsala län;03;Kommunal;350;16,9;67,4;9,7;22,9;
Enköping;0381;Uppsala län;03;Enskild;155;17,1;75,5;6,5;18,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 348;17,0;65,6;11,8;22,6;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 028;17,0;62,9;11,2;25,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;320;17,2;74,1;13,8;12,2;
Eslöv;1285;Skåne län;12;Samtliga;414;16,0;81,2;7,5;11,4;
Eslöv;1285;Skåne län;12;Kommunal;404;16,1;80,9;7,7;11,4;
Eslöv;1285;Skåne län;12;Enskild;10;12,0;..;.;..;
Essunga;1445;Västra Götalands län;14;Samtliga;71;16,8;63,4;..;..;
Essunga;1445;Västra Götalands län;14;Kommunal;71;16,8;63,4;..;..;
Fagersta;1982;Västmanlands län;19;Samtliga;162;14,0;68,5;13,0;18,5;
Fagersta;1982;Västmanlands län;19;Kommunal;143;13,6;67,1;13,3;19,6;
Fagersta;1982;Västmanlands län;19;Enskild;19;17,0;~100;..;..;
Falkenberg;1382;Hallands län;13;Samtliga;500;16,0;67,8;10,0;22,2;
Falkenberg;1382;Hallands län;13;Kommunal;393;17,0;62,6;10,7;26,7;
Falkenberg;1382;Hallands län;13;Enskild;107;12,4;86,9;..;..;
Falköping;1499;Västra Götalands län;14;Samtliga;423;14,8;61,7;8,7;29,6;
Falköping;1499;Västra Götalands län;14;Kommunal;402;14,8;62,9;8,7;28,4;
Falköping;1499;Västra Götalands län;14;Enskild;21;16,1;..;..;52,4;
Falun;2080;Dalarnas län;20;Samtliga;692;16,8;77,3;9,2;13,4;
Falun;2080;Dalarnas län;20;Kommunal;506;17,0;76,9;9,7;13,4;
Falun;2080;Dalarnas län;20;Enskild;186;16,3;78,5;8,1;13,4;
Filipstad;1782;Värmlands län;17;Samtliga;115;16,3;55,7;19,1;25,2;
Filipstad;1782;Värmlands län;17;Kommunal;105;16,8;52,4;20,0;27,6;
Filipstad;1782;Värmlands län;17;Enskild;10;11,9;..;..;.;
Finspång;0562;Östergötlands län;05;Samtliga;220;16,8;71,4;11,4;17,3;
Finspång;0562;Östergötlands län;05;Kommunal;210;17,0;70,5;11,9;17,6;
Finspång;0562;Östergötlands län;05;Enskild;10;12,0;..;.;..;
Flen;0482;Södermanlands län;04;Samtliga;201;16,7;52,2;12,9;34,8;
Flen;0482;Södermanlands län;04;Kommunal;134;17,1;45,5;11,9;42,5;
Flen;0482;Södermanlands län;04;Enskild;67;15,9;65,7;14,9;19,4;
Forshaga;1763;Värmlands län;17;Samtliga;135;16,8;85,2;..;..;
Forshaga;1763;Värmlands län;17;Kommunal;135;16,8;85,2;..;..;
Färgelanda;1439;Västra Götalands län;14;Samtliga;75;16,9;68,0;..;..;
Färgelanda;1439;Västra Götalands län;14;Kommunal;58;16,9;62,1;..;..;
Färgelanda;1439;Västra Götalands län;14;Enskild;17;16,9;~100;.;..;
Gagnef;2026;Dalarnas län;20;Samtliga;129;16,5;72,1;13,2;14,7;
Gagnef;2026;Dalarnas län;20;Kommunal;129;16,5;72,1;13,2;14,7;
Gislaved;0662;Jönköpings län;06;Samtliga;399;17,1;64,2;8,8;27,1;
Gislaved;0662;Jönköpings län;06;Kommunal;388;17,1;63,4;9,0;27,6;
Gislaved;0662;Jönköpings län;06;Enskild;11;17,0;~100;.;..;
Gnesta;0461;Södermanlands län;04;Samtliga;122;16,9;73,0;..;..;
Gnesta;0461;Södermanlands län;04;Kommunal;122;16,9;73,0;..;..;
Gnosjö;0617;Jönköpings län;06;Samtliga;142;17,0;70,4;13,4;16,2;
Gnosjö;0617;Jönköpings län;06;Kommunal;142;17,0;70,4;13,4;16,2;
Gotland;0980;Gotlands län;09;Samtliga;574;16,1;78,0;9,6;12,4;
Gotland;0980;Gotlands län;09;Kommunal;510;16,2;76,3;10,4;13,3;
Gotland;0980;Gotlands län;09;Enskild;64;15,4;92,2;..;..;
Grums;1764;Värmlands län;17;Samtliga;100;16,7;54,0;..;..;
Grums;1764;Värmlands län;17;Kommunal;88;16,8;48,9;..;..;
Grums;1764;Värmlands län;17;Enskild;12;16,6;~100;.;..;
Grästorp;1444;Västra Götalands län;14;Samtliga;70;12,0;77,1;..;..;
Grästorp;1444;Västra Götalands län;14;Kommunal;70;12,0;77,1;..;..;
Gullspång;1447;Västra Götalands län;14;Samtliga;62;14,7;69,4;..;..;
Gullspång;1447;Västra Götalands län;14;Kommunal;62;14,7;69,4;..;..;
Gällivare;2523;Norrbottens län;25;Statlig;..;..;..;..;..;
Gällivare;2523;Norrbottens län;25;Samtliga;125;15,4;76,0;..;..;
Gällivare;2523;Norrbottens län;25;Kommunal;95;16,1;70,5;..;..;
Gällivare;2523;Norrbottens län;25;Enskild;24;11,9;~100;..;..;
Gävle;2180;Gävleborgs län;21;Samtliga;1 172;16,7;69,8;10,2;20,0;
Gävle;2180;Gävleborgs län;21;Kommunal;750;16,6;67,2;10,1;22,7;
Gävle;2180;Gävleborgs län;21;Enskild;422;16,9;74,4;10,4;15,2;
Göteborg;1480;Västra Götalands län;14;Samtliga;5 846;15,4;69,0;10,0;21,1;
Göteborg;1480;Västra Götalands län;14;Kommunal;4 373;15,4;66,8;9,6;23,7;
Göteborg;1480;Västra Götalands län;14;Enskild;1 473;15,2;75,4;11,1;13,4;
Götene;1471;Västra Götalands län;14;Samtliga;177;16,9;69,5;13,6;16,9;
Götene;1471;Västra Götalands län;14;Kommunal;177;16,9;69,5;13,6;16,9;
Habo;0643;Jönköpings län;06;Samtliga;172;16,9;75,0;11,6;13,4;
Habo;0643;Jönköpings län;06;Kommunal;172;16,9;75,0;11,6;13,4;
Hagfors;1783;Värmlands län;17;Samtliga;93;16,8;63,4;..;..;
Hagfors;1783;Värmlands län;17;Kommunal;93;16,8;63,4;..;..;
Hallsberg;1861;Örebro län;18;Samtliga;172;17,0;68,6;8,7;22,7;
Hallsberg;1861;Örebro län;18;Kommunal;172;17,0;68,6;8,7;22,7;
Hallstahammar;1961;Västmanlands län;19;Samtliga;146;17,1;70,5;7,5;21,9;
Hallstahammar;1961;Västmanlands län;19;Kommunal;146;17,1;70,5;7,5;21,9;
Halmstad;1380;Hallands län;13;Samtliga;1 211;16,2;71,0;9,1;19,9;
Halmstad;1380;Hallands län;13;Kommunal;1 047;16,4;68,3;9,6;22,1;
Halmstad;1380;Hallands län;13;Enskild;164;14,9;88,4;..;..;
Hammarö;1761;Värmlands län;17;Samtliga;224;16,9;84,8;4,5;10,7;
Hammarö;1761;Värmlands län;17;Kommunal;224;16,9;84,8;4,5;10,7;
Haninge;0136;Stockholms län;01;Samtliga;927;17,0;67,4;10,2;22,3;
Haninge;0136;Stockholms län;01;Kommunal;828;17,0;66,5;10,6;22,8;
Haninge;0136;Stockholms län;01;Enskild;99;17,0;74,7;..;..;
Haparanda;2583;Norrbottens län;25;Samtliga;111;14,3;71,2;10,8;18,0;
Haparanda;2583;Norrbottens län;25;Kommunal;103;14,2;71,8;9,7;18,4;
Haparanda;2583;Norrbottens län;25;Enskild;..;..;..;..;..;
Heby;0331;Uppsala län;03;Samtliga;157;16,9;80,3;..;..;
Heby;0331;Uppsala län;03;Kommunal;150;16,9;80,0;..;..;
Heby;0331;Uppsala län;03;Enskild;..;..;..;..;.;
Hedemora;2083;Dalarnas län;20;Samtliga;174;16,9;74,1;7,5;18,4;
Hedemora;2083;Dalarnas län;20;Kommunal;154;16,9;74,7;6,5;18,8;
Hedemora;2083;Dalarnas län;20;Enskild;20;16,9;70,0;..;..;
Helsingborg;1283;Skåne län;12;Samtliga;1 627;16,8;73,3;9,0;17,8;
Helsingborg;1283;Skåne län;12;Kommunal;1 149;16,9;74,2;8,4;17,4;
Helsingborg;1283;Skåne län;12;Enskild;478;16,6;71,1;10,3;18,6;
Herrljunga;1466;Västra Götalands län;14;Samtliga;131;15,5;77,1;9,2;13,7;
Herrljunga;1466;Västra Götalands län;14;Kommunal;131;15,5;77,1;9,2;13,7;
Hjo;1497;Västra Götalands län;14;Samtliga;91;17,0;81,3;..;..;
Hjo;1497;Västra Götalands län;14;Kommunal;91;17,0;81,3;..;..;
Hofors;2104;Gävleborgs län;21;Samtliga;92;16,2;70,7;..;..;
Hofors;2104;Gävleborgs län;21;Kommunal;92;16,2;70,7;..;..;
Huddinge;0126;Stockholms län;01;Samtliga;1 496;16,4;78,3;8,0;13,7;
Huddinge;0126;Stockholms län;01;Kommunal;1 101;16,4;74,9;8,4;16,7;
Huddinge;0126;Stockholms län;01;Enskild;395;16,5;87,8;6,8;5,3;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;457;16,5;72,6;11,6;15,8;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;427;16,9;72,8;10,8;16,4;
Hudiksvall;2184;Gävleborgs län;21;Enskild;30;11,1;70,0;..;..;
Hultsfred;0860;Kalmar län;08;Samtliga;177;16,4;65,5;11,9;22,6;
Hultsfred;0860;Kalmar län;08;Kommunal;154;17,0;67,5;9,7;22,7;
Hultsfred;0860;Kalmar län;08;Enskild;23;12,1;52,2;..;..;
Hylte;1315;Hallands län;13;Samtliga;173;17,0;56,6;13,3;30,1;
Hylte;1315;Hallands län;13;Kommunal;171;17,1;56,1;13,5;30,4;
Hylte;1315;Hallands län;13;Enskild;..;..;..;.;.;
Håbo;0305;Uppsala län;03;Samtliga;309;16,8;75,1;10,4;14,6;
Håbo;0305;Uppsala län;03;Kommunal;248;16,9;70,6;12,1;17,3;
Håbo;0305;Uppsala län;03;Enskild;61;16,0;~100;..;..;
Hällefors;1863;Örebro län;18;Samtliga;83;16,7;47,0;18,1;34,9;
Hällefors;1863;Örebro län;18;Kommunal;83;16,7;47,0;18,1;34,9;
Härjedalen;2361;Jämtlands län;23;Samtliga;92;16,8;70,7;..;..;
Härjedalen;2361;Jämtlands län;23;Kommunal;92;16,8;70,7;..;..;
Härnösand;2280;Västernorrlands län;22;Samtliga;302;16,9;74,2;6,6;19,2;
Härnösand;2280;Västernorrlands län;22;Kommunal;282;16,9;72,7;6,7;20,6;
Härnösand;2280;Västernorrlands län;22;Enskild;20;17,0;~100;..;.;
Härryda;1401;Västra Götalands län;14;Samtliga;616;13,3;79,9;6,7;13,5;
Härryda;1401;Västra Götalands län;14;Kommunal;540;13,4;78,0;7,4;14,6;
Härryda;1401;Västra Götalands län;14;Enskild;76;12,0;93,4;..;..;
Hässleholm;1293;Skåne län;12;Samtliga;593;16,6;65,4;9,6;25,0;
Hässleholm;1293;Skåne län;12;Kommunal;486;17,0;62,1;9,5;28,4;
Hässleholm;1293;Skåne län;12;Enskild;107;14,8;80,4;10,3;9,3;
Höganäs;1284;Skåne län;12;Samtliga;342;16,9;80,7;7,6;11,7;
Höganäs;1284;Skåne län;12;Kommunal;309;16,9;80,3;7,4;12,3;
Höganäs;1284;Skåne län;12;Enskild;33;16,6;84,8;..;..;
Högsby;0821;Kalmar län;08;Samtliga;54;16,7;51,9;..;..;
Högsby;0821;Kalmar län;08;Kommunal;54;16,7;51,9;..;..;
Hörby;1266;Skåne län;12;Samtliga;144;16,0;72,2;9,0;18,8;
Hörby;1266;Skåne län;12;Kommunal;127;15,9;70,9;10,2;18,9;
Hörby;1266;Skåne län;12;Enskild;17;16,9;~100;.;..;
Höör;1267;Skåne län;12;Samtliga;168;14,1;76,8;10,1;13,1;
Höör;1267;Skåne län;12;Kommunal;125;13,2;74,4;11,2;14,4;
Höör;1267;Skåne län;12;Enskild;43;16,7;83,7;..;..;
Jokkmokk;2510;Norrbottens län;25;Statlig;..;..;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;37;16,7;86,5;..;..;
Jokkmokk;2510;Norrbottens län;25;Kommunal;30;16,9;~100;..;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;..;..;..;.;..;
Järfälla;0123;Stockholms län;01;Samtliga;887;16,3;69,1;10,4;20,5;
Järfälla;0123;Stockholms län;01;Kommunal;711;16,2;67,2;10,7;22,1;
Järfälla;0123;Stockholms län;01;Enskild;176;16,6;76,7;9,1;14,2;
Jönköping;0680;Jönköpings län;06;Samtliga;1 664;16,4;81,0;7,2;11,8;
Jönköping;0680;Jönköpings län;06;Kommunal;1 416;16,6;82,3;6,4;11,2;
Jönköping;0680;Jönköpings län;06;Enskild;248;15,3;73,4;11,7;14,9;
Kalix;2514;Norrbottens län;25;Samtliga;152;16,1;83,6;..;..;
Kalix;2514;Norrbottens län;25;Kommunal;139;16,1;84,9;..;..;
Kalix;2514;Norrbottens län;25;Enskild;13;16,9;..;..;..;
Kalmar;0880;Kalmar län;08;Samtliga;782;16,9;81,8;7,4;10,7;
Kalmar;0880;Kalmar län;08;Kommunal;734;16,9;82,2;7,6;10,2;
Kalmar;0880;Kalmar län;08;Enskild;48;17,2;77,1;..;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;61;16,0;90,2;..;..;
Karlsborg;1446;Västra Götalands län;14;Kommunal;47;15,9;87,2;..;..;
Karlsborg;1446;Västra Götalands län;14;Enskild;14;16,0;100,0;.;.;
Karlshamn;1082;Blekinge län;10;Samtliga;354;16,9;76,8;11,3;11,9;
Karlshamn;1082;Blekinge län;10;Kommunal;326;17,1;76,7;10,7;12,6;
Karlshamn;1082;Blekinge län;10;Enskild;28;15,1;78,6;..;..;
Karlskoga;1883;Örebro län;18;Samtliga;342;17,0;64,6;12,3;23,1;
Karlskoga;1883;Örebro län;18;Kommunal;330;17,0;64,5;12,4;23,0;
Karlskoga;1883;Örebro län;18;Enskild;12;17,0;..;..;..;
Karlskrona;1080;Blekinge län;10;Samtliga;798;16,6;77,4;7,8;14,8;
Karlskrona;1080;Blekinge län;10;Kommunal;620;16,7;74,2;8,2;17,6;
Karlskrona;1080;Blekinge län;10;Enskild;178;16,1;88,8;..;..;
Karlstad;1780;Värmlands län;17;Samtliga;1 048;17,0;77,0;8,2;14,8;
Karlstad;1780;Värmlands län;17;Kommunal;856;17,0;76,1;7,9;16,0;
Karlstad;1780;Värmlands län;17;Enskild;192;17,1;81,3;9,4;9,4;
Katrineholm;0483;Södermanlands län;04;Samtliga;439;16,9;63,3;11,2;25,5;
Katrineholm;0483;Södermanlands län;04;Kommunal;371;16,9;62,0;11,3;26,7;
Katrineholm;0483;Södermanlands län;04;Enskild;68;16,7;70,6;..;..;
Kil;1715;Värmlands län;17;Samtliga;125;16,9;73,6;12,8;13,6;
Kil;1715;Värmlands län;17;Kommunal;125;16,9;73,6;12,8;13,6;
Kinda;0513;Östergötlands län;05;Samtliga;105;16,9;77,1;..;..;
Kinda;0513;Östergötlands län;05;Kommunal;105;16,9;77,1;..;..;
Kiruna;2584;Norrbottens län;25;Statlig;..;..;..;..;..;
Kiruna;2584;Norrbottens län;25;Samtliga;222;16,3;66,7;14,0;19,4;
Kiruna;2584;Norrbottens län;25;Kommunal;183;16,5;60,7;16,9;22,4;
Kiruna;2584;Norrbottens län;25;Enskild;31;15,9;~100;.;..;
Klippan;1276;Skåne län;12;Samtliga;180;16,8;71,1;7,8;21,1;
Klippan;1276;Skåne län;12;Kommunal;166;16,8;71,1;7,2;21,7;
Klippan;1276;Skåne län;12;Enskild;14;17,0;~100;..;..;
Knivsta;0330;Uppsala län;03;Samtliga;287;16,4;78,7;9,4;11,8;
Knivsta;0330;Uppsala län;03;Kommunal;268;16,7;79,1;9,0;11,9;
Knivsta;0330;Uppsala län;03;Enskild;19;12,1;73,7;..;..;
Kramfors;2282;Västernorrlands län;22;Samtliga;189;17,0;66,1;9,0;24,9;
Kramfors;2282;Västernorrlands län;22;Kommunal;179;17,0;64,8;9,5;25,7;
Kramfors;2282;Västernorrlands län;22;Enskild;10;17,0;..;.;..;
Kristianstad;1290;Skåne län;12;Samtliga;1 043;16,9;71,7;8,6;19,7;
Kristianstad;1290;Skåne län;12;Kommunal;942;16,9;71,4;8,7;19,9;
Kristianstad;1290;Skåne län;12;Enskild;101;17,1;74,3;..;..;
Kristinehamn;1781;Värmlands län;17;Samtliga;260;17,1;65,0;8,8;26,2;
Kristinehamn;1781;Värmlands län;17;Kommunal;260;17,1;65,0;8,8;26,2;
Krokom;2309;Jämtlands län;23;Samtliga;216;15,9;81,0;7,4;11,6;
Krokom;2309;Jämtlands län;23;Kommunal;216;15,9;81,0;7,4;11,6;
Kumla;1881;Örebro län;18;Samtliga;279;16,9;71,0;7,5;21,5;
Kumla;1881;Örebro län;18;Kommunal;279;16,9;71,0;7,5;21,5;
Kungsbacka;1384;Hallands län;13;Samtliga;1 143;15,7;85,1;5,9;8,9;
Kungsbacka;1384;Hallands län;13;Kommunal;1 010;15,9;84,1;6,1;9,8;
Kungsbacka;1384;Hallands län;13;Enskild;133;14,6;93,2;..;..;
Kungsör;1960;Västmanlands län;19;Samtliga;107;15,9;55,1;10,3;34,6;
Kungsör;1960;Västmanlands län;19;Kommunal;107;15,9;55,1;10,3;34,6;
Kungälv;1482;Västra Götalands län;14;Samtliga;567;15,6;84,7;5,5;9,9;
Kungälv;1482;Västra Götalands län;14;Kommunal;500;15,8;83,4;5,8;10,8;
Kungälv;1482;Västra Götalands län;14;Enskild;67;14,6;~100;..;..;
Kävlinge;1261;Skåne län;12;Samtliga;478;17,0;83,5;6,7;9,8;
Kävlinge;1261;Skåne län;12;Kommunal;432;17,0;81,9;7,2;10,9;
Kävlinge;1261;Skåne län;12;Enskild;46;17,0;~100;..;.;
Köping;1983;Västmanlands län;19;Samtliga;310;14,8;68,7;11,0;20,3;
Köping;1983;Västmanlands län;19;Kommunal;310;14,8;68,7;11,0;20,3;
Laholm;1381;Hallands län;13;Samtliga;286;16,9;69,9;10,8;19,2;
Laholm;1381;Hallands län;13;Kommunal;272;16,9;69,5;11,0;19,5;
Laholm;1381;Hallands län;13;Enskild;14;16,7;~100;..;..;
Landskrona;1282;Skåne län;12;Samtliga;542;17,0;73,1;9,8;17,2;
Landskrona;1282;Skåne län;12;Kommunal;374;17,0;70,6;10,2;19,3;
Landskrona;1282;Skåne län;12;Enskild;168;17,0;78,6;8,9;12,5;
Laxå;1860;Örebro län;18;Samtliga;55;16,6;69,1;..;..;
Laxå;1860;Örebro län;18;Kommunal;55;16,6;69,1;..;..;
Lekeberg;1814;Örebro län;18;Samtliga;95;16,9;77,9;..;..;
Lekeberg;1814;Örebro län;18;Kommunal;95;16,9;77,9;..;..;
Leksand;2029;Dalarnas län;20;Samtliga;160;15,8;71,3;13,1;15,6;
Leksand;2029;Dalarnas län;20;Kommunal;130;15,8;73,1;10,0;16,9;
Leksand;2029;Dalarnas län;20;Enskild;30;15,7;63,3;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;629;15,8;75,4;9,7;14,9;
Lerum;1441;Västra Götalands län;14;Kommunal;602;15,8;74,4;10,0;15,6;
Lerum;1441;Västra Götalands län;14;Enskild;27;17,1;~100;..;.;
Lessebo;0761;Kronobergs län;07;Samtliga;112;16,9;57,1;8,9;33,9;
Lessebo;0761;Kronobergs län;07;Kommunal;112;16,9;57,1;8,9;33,9;
Lidingö;0186;Stockholms län;01;Samtliga;651;16,3;89,9;2,6;7,5;
Lidingö;0186;Stockholms län;01;Kommunal;495;16,7;88,9;2,4;8,7;
Lidingö;0186;Stockholms län;01;Enskild;156;14,7;92,9;..;..;
Lidköping;1494;Västra Götalands län;14;Samtliga;504;16,4;79,6;6,9;13,5;
Lidköping;1494;Västra Götalands län;14;Kommunal;467;16,8;78,2;7,3;14,6;
Lidköping;1494;Västra Götalands län;14;Enskild;37;11,9;~100;..;.;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;136;16,7;74,3;8,1;17,6;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;126;16,7;74,6;..;..;
Lilla Edet;1462;Västra Götalands län;14;Enskild;10;17,0;..;..;..;
